,SYMBOL
0,5FH.SI
1,A31.SI
2,J7X.SI
3,A6F.SI
4,5IB.SI
5,RE2.SI
6,O9E.SI
7,O02.SI
8,MF5.SI
9,JS8.SI
10,E5H.SI
11,5WV.SI
12,A7S.SI
13,A68U.SI
14,5EK.SI
15,P8Z.SI
16,O5RU.SI
17,NF4.SI
18,M1P.SI
19,GH3.SI
20,G5X.SI
21,F9M.SI
22,CT1.SI
23,AK3.SI
24,AEW.SI
25,A7RU.SI
26,A50.SI
27,A33.SI
28,A18.SI
29,A04.SI
30,G1K.SI
31,F99.SI
32,AW9U.SI
33,AJ2.SI
34,A9B.SI
35,A78.SI
36,A34.SI
37,A30.SI
38,A05.SI
39,A03.SI
40,5OY.SI
41,5ET.SI
42,585.SI
43,KI3.SI
44,5VJ.SI
45,5DW.SI
46,P5P.SI
47,MN5.SI
48,E2:G5X.SI
49,E2:A52.SI
50,5NK.SI
51,5CP.SI
52,40F.SI
53,D1R.SI
54,505.SI
55,QL3.SI
56,5AL.SI
57,AER.SI
58,E2:A02.SI
59,E2:A05.SI
60,E2:5GJ.SI
61,E1:P8Z.SI
62,E1:GH3.SI
63,K3HD.SI
64,A53.SI
65,A01.SI
66,575.SI
67,PU6D.SI
68,E2:Z01.SI
69,E2:K3RD.SI
70,E2:A34.SI
71,E1:MN5.SI
72,E1:A02.SI
73,AO9.SI
74,A02.SI
75,5WE.SI
76,E2:N6M.SI
77,AEP.SI
78,E2:MN5.SI
79,E2:A69.SI
80,E1:A59.SI
81,E1:A53.SI
82,E2:RE2.SI
83,E1:5H9R.SI
84,560.SI
85,K3JD.SI
86,H22.SI
87,E2:B03.SI
88,E1:A13.SI
89,E1:A04.SI
90,E1:A17U.SI
91,ACW.SI
92,E2:TI6.SI
93,5H3R.SI
94,5EF.SI
95,K3FD.SI
96,ADJ.SI
97,E2:5VJ.SI
98,E1:5UL.SI
99,E1:538.SI
100,A26.SI
101,S7OU.SI
102,O2I.SI
103,E2:Q1P.SI
104,E2:5WV.SI
105,E1:O2I.SI
106,E1:EH5.SI
110,5AU.SI
111,AAFR.SI
112,E1:5GZ.SI
113,E2:D1R.SI
114,E2:A55.SI
115,E1:L08.SI
116,E1:A31.SI
120,AEO.SI
121,G92.SI
122,AM3.SI
130,ADP.SI
131,CY6U.SI
132,AI1.SI
146,E1:D1R.SI
147,E1:5NK.SI
148,B2W.SI
149,A0W.SI
155,E1:NC2.SI
156,E1:E5H.SI
157,E2:MF5.SI
158,A75.SI
159,5TY.SI
160,E2:F9M.SI
161,E2:5ET.SI
162,E2:560.SI
163,E1:A55.SI
170,E2:A54.SI
171,E2:5TY.SI
172,E1:A34.SI
173,E2:ADQU.SI
180,K3TD.SI
181,L5I.SI
182,A35.SI
183,AD7.SI
184,E2:5H9R.SI
185,QR9.SI
186,N5ZD.SI
187,E2:NC2.SI
188,E2:5EF.SI
189,E2:585.SI
190,KV5.SI
191,A27.SI
192,A59.SI
193,E2:G92.SI
194,TI6.SI
195,5EG.SI
196,N6DD.SI
197,AEU.SI
198,E2:575.SI
199,E1:T42.SI
209,K3QD.SI
218,E1:5H2R.SI
219,LF1.SI
223,ABR.SI
224,5GJ.SI
225,K3MD.SI
226,E2:K3SD.SI
227,E2:GH3.SI
228,E2:5OY.SI
229,E1:K6Y.SI
232,E2:P8Z.SI
233,AD8.SI
234,5EW.SI
235,E2:S7OU.SI
236,ADSR.SI
237,E2:CT1.SI
238,E2:A17U.SI
239,E1:K3HD.SI
240,5IA.SI
241,NF6.SI
242,K3GD.SI
243,E1:5AL.SI
244,E2:C60.SI
245,E2:A04.SI
246,E2:5AM.SI
247,E2:5CR.SI
248,E1:A68U.SI
249,E1:A30.SI
250,538.SI
251,K6Y.SI
252,AAR.SI
253,E2:M1P.SI
254,E2:A75.SI
255,E2:A03.SI
256,E2:5NK.SI
257,E1:CT1.SI
258,E1:A54.SI
259,E1:5AM.SI
262,E2:T42.SI
263,AV5.SI
264,5UL.SI
265,AAW.SI
272,AAY.SI
273,AP4.SI
274,N6ED.SI
279,E2:A0P.SI
286,ACV.SI
287,5JS.SI
288,P60.SI
289,N5YD.SI
295,A0P.SI
296,E1:40F.SI
297,TZ8R.SI
298,N6M.SI
299,K3UD.SI
301,E1:A18.SI
302,E1:5IB.SI
303,E2:P60.SI
304,A0G.SI
305,533.SI
306,O9P.SI
307,E2:L08.SI
308,E2:O9P.SI
309,E2:CY6U.SI
310,E1:G5X.SI
311,E1:5ET.SI
312,E1:585.SI
313,A17U.SI
314,5UE.SI
315,U5U.SI
316,K3CD.SI
317,E1:A01.SI
318,E2:O02.SI
319,E2:5IA.SI
320,E2:533.SI
321,E2:G3B.SI
330,E2:5WE.SI
331,E2:X04.SI
340,AFC.SI
341,E1:533.SI
342,E1:A10.SI
343,E1:B03.SI
344,E1:F18.SI
345,E1:KI3.SI
346,E2:505.SI
347,E2:5CP.SI
348,E2:A13.SI
350,E1:5FH.SI
351,E1:5WV.SI
352,E1:5GJ.SI
353,E1:A69.SI
354,E2:40F.SI
355,E1:Z01.SI
356,E2:5EW.SI
357,E2:5EK.SI
358,E2:EH5.SI
366,E1:F9M.SI
367,E1:A23.SI
374,E1:A75.SI
375,E1:5AU.SI
376,O39.SI
377,K29.SI
378,BN2.SI
379,N21.SI
380,BN4.SI
381,S21.SI
382,O15.SI
383,D79.SI
384,B58.SI
385,5DA.SI
386,B16.SI
387,BS6.SI
388,N4E.SI
389,D38.SI
390,Y92.SI
391,P82.SI
392,L03.SI
393,D01.SI
394,B1ZU.SI
395,568.SI
396,W12.SI
397,T18.SI
399,M41.SI
400,J36.SI
401,GJ8.SI
402,G50.SI
403,F11.SI
404,E25.SI
405,B9S.SI
407,T15.SI
408,MU7.SI
409,KJ5.SI
410,H78.SI
412,FP1.SI
413,E9L.SI
414,DC9.SI
415,B7K.SI
416,B61.SI
417,B28.SI
418,B20.SI
422,5GD.SI
423,B73.SI
424,E2:E9L.SI
425,SV3U.SI
426,B3C.SI
427,B26.SI
428,B10.SI
431,5MC.SI
433,B2:PW3Z.SI
434,E2:TY4R.SI
435,C56.SI
436,U9Z.SI
437,U9F.SI
438,QL1.SI
439,E2:G08.SI
440,E2:AJ2.SI
443,E1:K29.SI
444,E1:B0I.SI
445,546.SI
446,B2:TY6Z.SI
447,S3N.SI
448,E1:B08.SI
449,E2:C59.SI
450,E2:587.SI
451,E1:P82.SI
452,E1:F11.SI
453,E1:D2V.SI
454,E1:D5N.SI
457,E2:W12.SI
458,E2:M41.SI
459,E2:D2V.SI
460,E2:AD7.SI
461,E1:S3N.SI
462,E1:O2F.SI
463,E1:KJ5.SI
464,E2:F11.SI
465,Q7Q.SI
466,F12.SI
467,E1:AD8.SI
468,E2:J36.SI
470,E1:T18.SI
471,E1:W12.SI
472,E1:H78.SI
473,E1:B32.SI
474,RS1.SI
475,L34.SI
476,E2:MQ4.SI
477,C37.SI
478,B07.SI
479,E1:U9E.SI
480,L28.SI
481,E1:H13.SI
482,E2:O15.SI
483,E2:J37.SI
484,E2:H13.SI
485,E1:S07.SI
486,DK2.SI
487,B64.SI
488,UB5.SI
489,M04.SI
491,E2:N21.SI
492,E2:NT1.SI
493,E2:K22.SI
494,E2:B2X.SI
